比赛类型,球员,出场时间,得分,篮板,助攻,抢断,盖帽,投篮命中率,三分命中率,罚篮命中率,失误
常规赛,塔图姆,35.8,26.9,8.1,4.9,1,0.6,47.20%,37.60%,83.30%,2.5
常规赛,布朗,33.5,23,5.5,3.3,1.2,0.5,49.90%,35.40%,70.30%,2.4
常规赛,波尔津吉斯,29.6,20.1,7.2,2,0.7,1.9,51.60%,37.50%,85.80%,1.6
常规赛,怀特,32.6,15.2,4.2,5.2,1,1.2,46.10%,39.60%,90.10%,1.5
常规赛,霍乐迪,32.8,12.5,5.4,4.8,0.9,0.8,48.00%,42.90%,83.30%,1.8
常规赛,普理查德,22.2,9.6,3.2,3.4,0.5,0.1,46.80%,38.50%,82.10%,0.7
常规赛,豪瑟,22.1,9,3.5,1,0.5,0.3,44.70%,42.50%,89.50%,0.4
常规赛,霍福德,26.8,8.6,6.3,2.6,0.6,1,51.20%,42.00%,86.70%,0.7
常规赛,克塔,11.9,5.5,4.4,0.7,0.5,0.8,64.40%,0.00%,71.40%,0.5
常规赛,科内特,15.7,5.3,4.1,1.1,0.3,1,70.00%,100.00%,90.70%,0.3
常规赛,米哈伊柳克,10.1,4,1.2,0.9,0.3,0,41.60%,38.90%,66.70%,0.3
常规赛,蒂尔曼,13.7,4,2.7,1,0.5,0.5,51.50%,28.60%,57.10%,0.3
常规赛,布里赛特,11.5,3.7,2.9,0.8,0.3,0.1,44.40%,27.30%,60.20%,0.4
常规赛,斯普林格,7.8,2.1,1.2,0.5,0.6,0.2,43.30%,18.20%,87.50%,0.5
常规赛,戴维森,4.9,2,1.3,1.3,0.1,0.1,41.70%,42.90%,75.00%,0.3
常规赛,沃尔什,9.2,1.7,2.2,0.6,0.6,0.1,40.00%,22.20%,50.00%,0.3
常规赛,彼得森,0,0,0,0,0,0,0.00%,0.00%,0.00%,0
季后赛,塔图姆,40.5,25,9.7,6.3,1.1,0.7,42.70%,28.30%,86.10%,2.6
季后赛,布朗,37.1,23.9,5.9,3.3,1.2,0.6,51.60%,32.70%,66.00%,2.7
季后赛,波尔津吉斯,23.6,12.3,4.4,1.1,0.7,1.6,46.70%,34.50%,90.90%,0.7
季后赛,怀特,35.6,16.7,4.3,4.1,0.9,1.2,45.20%,40.40%,92.10%,0.8
季后赛,霍乐迪,37.9,13.2,6.1,4.4,1.1,0.6,50.30%,40.20%,95.50%,1.5
季后赛,普理查德,18.6,6.4,1.9,2.1,0.2,0,41.90%,38.30%,91.70%,0.7
季后赛,豪瑟,14.8,5.4,2.2,0.6,0.3,0.2,42.90%,38.00%,100.00%,0.2
季后赛,霍福德,30.3,9.2,7,2.1,0.8,0.8,47.80%,36.80%,63.60%,0.6
季后赛,克塔,4.3,1.3,1,0,0,0.3,66.70%,0.00%,0.00%,0
季后赛,科内特,10.1,3,3.2,0.5,0.1,0.4,66.70%,0.00%,84.60%,0.5
季后赛,米哈伊柳克,4,1,0.6,0.1,0.1,0,25.00%,22.20%,0.00%,0.3
季后赛,蒂尔曼,8.5,1.5,1.8,0.4,0.4,0.4,62.50%,100.00%,100.00%,0.4
季后赛,布里赛特,5.5,1.6,1.4,0,0.3,0.2,54.50%,100.00%,50.00%,0.1
季后赛,斯普林格,5.5,1,0.8,0.3,0,0.3,66.70%,0.00%,0.00%,0.5
季后赛,戴维森,0,0,0,0,0,0,0.00%,0.00%,0.00%,0
季后赛,沃尔什,3.7,0.7,0,0,0,0,33.30%,0.00%,0.00%,0
季后赛,彼得森,0,0,0,0,0,0,0.00%,0.00%,0.00%,0
